spec_name,signal_name,information
i2c,NA,"Here is the mapping information:
[wb_clk_i]: Master clock input
[wb_rst_i]: Synchronous reset, active high
[arst_i]: Asynchronous reset input
[wb_stb_i]: Strobe signal / Core select input
[wb_ack_o]: Bus cycle acknowledge output
[wb_inta_o]: Interrupt signal output
[wb_adr_i]: Lower address bits for Wishbone interface
[wb_dat_i]: Data input to the core
[wb_cyc_i]: Valid bus cycle input
[wb_dat_o]: Data output from the core
[wb_we_i]: Write enable signal
[scl_pad_i]: Serial Clock (SCL) line input
[scl_pad_o]: Serial Clock (SCL) line output
[sda_pad_i]: Serial Data (SDA) line input
[sda_pad_o]: Serial Data (SDA) line output
[scl_pad_oe]: Serial Clock (SCL) line output enable
[sda_pad_oe]: Serial Data (SDA) line output enable
[ctr]: Control register
[sr]: Status register
[prer]: Clock Prescale Register
[txr]: Transmit register
[rxr]: Receive register
[cr]: Command register

Here is the architecture overview:
Below is a high-level summary of the I2C-Master Core architecture workflow, based entirely on the specification document. It reflects how the various blocks (shown in Fig. 5.1 and the state diagram) work together to carry out I2C transactions.
### 1. WISHBONE Interface
- **Purpose**: Acts as the main bus interface for the core. It provides signals such as `wb_clk_i`, `wb_rst_i`, address (`wb_adr_i`), data input (`wb_dat_i`), data output (`wb_dat_o`), and control signals (`wb_we_i`, `wb_stb_i`, `wb_cyc_i`, `wb_ack_o`, `wb_inta_o`).
- **Operation**:  
  - The CPU or system master writes to and reads from the I2C core’s registers (Prescale, Control, Command, Transmit, Receive, and Status) through this interface.  
  - All output signals from the core are registered, and each bus access takes 2 clock cycles.
### 2. Prescale Register & Clock Generator
- **Prescale Register**:  
  - Holds an integer value used to divide down the incoming master clock (`wb_clk_i`) to generate the internal SCL frequency (5× the target SCL).  
  - Must be programmed when the core is disabled (`EN = 0` in the Control register).  
- **Clock Generator**:  
  - Produces the internal 4× or 5× SCL clock enable signals that drive the Bit Command Controller.  
  - Manages clock stretching if a slave holds SCL low, ensuring correct synchronization on the I2C bus.
### 3. Control & Status Registers
- **Control Register** (`CTR` at address 0x02):  
  - Enables or disables (`EN` bit) the I2C core.  
  - Enables or disables (`IEN` bit) the core’s interrupt mechanism.  
- **Status Register** (`SR` read-only at address 0x04):  
  - Reflects real-time conditions such as `RxACK` (received ACK), `Busy` (bus busy), `AL` (arbitration lost), `TIP` (transfer in progress), and `IF` (interrupt flag).
### 4. Command Register & Byte Command Controller
- **Command Register** (`CR` write-only at address 0x04):  
  - Bits like `STA` (start), `STO` (stop), `RD` (read), `WR` (write), and `ACK` (acknowledge control) drive high-level I2C actions.  
  - The Byte Command Controller interprets these bits and breaks them down into individual bit-level operations.
- **Byte Command Controller**:  
  - Works at the byte level, orchestrating sequences like:  
    1. Generating START (or repeated START).  
    2. Writing/Reading a byte to/from the slave.  
    3. Checking or sending ACK/NACK.  
    4. Generating STOP if required.  
  - Transitions between states (Idle → START → WRITE or READ → ACK → STOP) based on the command bits.
### 5. Bit Command Controller
- **Purpose**: Executes the actual low-level signaling on `SCL` and `SDA`:
  - Splits each byte operation into 5 phases (Idle, A, B, C, D) or 4 phases for STOP.  
  - Drives SDA and SCL high/low to generate START, STOP, data bits, and acknowledge bits.  
  - Monitors bus conditions to detect arbitration loss or clock stretching.
- **Arbitration & Clock Stretching**:  
  - Because I2C is a multi-master bus, the Bit Command Controller checks for collisions (e.g., SDA driven high while another device pulls it low).  
  - If arbitration is lost, the controller sets the `AL` bit in the Status Register and halts the transfer.
### 6. DataIO Shift Register, Transmit & Receive Registers
- **Transmit Register** (`TXR` at address 0x03, write-only):  
  - Holds the next byte (or slave address + R/W bit) to be transmitted on the bus.  
  - Contents are loaded into the DataIO Shift Register before shifting out on SDA.  
- **Receive Register** (`RXR` at address 0x03, read-only):  
  - Holds the last byte received from the bus after a read operation completes.  
- **DataIO Shift Register**:  
  - Shifts data out during writes or latches data in during reads.  
  - After one byte is fully shifted in, it transfers the data to `RXR`.  
  - For writes, it is loaded from `TXR` first, then shifted out bit-by-bit.
### 7. Typical Transaction Flow
1. **Configuration**:  
   - Disable the core (`EN = 0`) and write the prescale value to achieve the desired SCL.  
   - Enable the core (`EN = 1`) and optionally enable interrupts (`IEN = 1`).  
2. **Generate START & Slave Address**:  
   - Write slave address and R/W bit to `TXR`.  
   - Write the `STA` + `WR` (or `RD`) command to `CR` to initiate a start condition and address transfer.  
   - The Byte Command Controller sets `TIP`, indicating a transfer in progress.  
3. **Byte-by-Byte Read/Write**:  
   - Once the transfer completes, `TIP` clears and `IF` (interrupt flag) sets if interrupts are enabled.  
   - Check `RxACK` to see if the slave acknowledged.  
   - For **write**: write next data byte to `TXR`, set `WR` bit in `CR`.  
   - For **read**: set `RD` bit in `CR` (and decide whether to ACK or NACK in `ACK` bit).  
4. **Generate STOP**:  
   - Once the final byte is transferred, set `STO` in `CR` to generate a stop condition and release the bus.
### 8. Summary
Putting it all together, the I2C-Master Core’s architecture uses:
- A **WISHBONE interface** for control and status access,
- A **Prescale Register** and **Clock Generator** for I2C clock management,
- A **Byte Command Controller** to orchestrate high-level I2C transactions (start, stop, read, write),
- A **Bit Command Controller** to handle bit-level timing and signals on the SDA and SCL lines,
- **Transmit/Receive Registers** and a **DataIO Shift Register** to manage data movement.
This layered approach allows software (through WISHBONE) to issue simple commands while the core handles the complexities of the I2C protocol under the hood.

Here is information extracted from each waveforms in the specification:

**[Waveform Name]:** I2C Protocol Standard Communication (Section 4.2)
**[Signals]:**  
- **SCL** (Serial Clock)  
- **SDA** (Serial Data)  
**[Interdependence Analysis]:**  
- **[Timing Relationship]:**  
  - Each data bit on SDA is sampled during the high phase of SCL.  
  - SDA transitions are valid while SCL is low; SDA must remain stable while SCL is high (except for START/STOP).  
  - The **START** (S) condition occurs when SDA transitions from high to low while SCL is high.  
  - The **STOP** (P) condition occurs when SDA transitions from low to high while SCL is high.  
  - Each byte transfer spans 9 SCL cycles (8 data bits + 1 ACK/NACK bit).
- **[Causal Dependencies]:**  
  - The **master** drives SDA for the address bits (A7–A1), the R/W bit, and the data bits (D7–D0).  
  - The **slave** drives SDA during the ACK/NACK bit.  
  - The master also initiates both START and STOP conditions.
- **[State Transitions]:**  
  1. **Idle** (SCL and SDA both high).  
  2. **START** (SDA goes low while SCL is high).  
  3. **Slave Address + R/W** bit on SDA (bits A7–A1 + R/W).  
  4. **ACK** from slave (SDA driven low by slave).  
  5. **Data Byte** transfer (D7–D0).  
  6. **ACK** or **NACK** from slave.  
  7. **STOP** (SDA goes high while SCL is high) or Repeated START if continuing.
- **[Protocol/Handshaking Mechanisms]:**  
  - The master issues an address and R/W bit, waits for the slave to ACK.  
  - On write operations, the master sends data and expects ACK from the slave each byte.  
  - On read operations, the master reads data from the slave and must provide ACK or NACK.  
  - The bus is released after the master issues a STOP (or continues with a Repeated START).
- **[Additional Observations]:**  
  - This diagram shows a single-byte transaction (address phase + one data byte).  
  - The same sequence repeats for multi-byte transfers, with repeated ACK/NACK cycles.  
  - No other signals (interrupts, internal enables, etc.) are shown in this waveform.  
  
**[Waveform Name]:** Clock Synchronization in a Multi-Master Environment (Section 4.3.1)
**[Signals]:**  
- **SCL1** (Master1’s clock)  
- **SCL2** (Master2’s clock)  
- **wired-AND SCL** (Actual bus clock line as seen on the I2C bus)
**[Interdependence Analysis]:**
- **[Timing Relationship]:**  
  - Because of the wired-AND connection on the bus, if any master pulls SCL low, the bus remains low.  
  - The bus clock transitions to high only when *all* masters release the line to high.  
  - Each master begins counting its own low and high periods, but the actual SCL on the bus follows the master with the longer low period (stretching the low phase) and the shortest high period (releasing the line sooner).
- **[Causal Dependencies]:**  
  - The actual bus clock (wired-AND SCL) depends on *both* Master1 (SCL1) and Master2 (SCL2). Whichever drives SCL low “dominates” the bus line.  
  - A master cannot force the line high if another master is still driving it low.
- **[State Transitions]:**  
  1. **Low Phase Start:** As soon as one master pulls SCL low, the bus line goes low.  
  2. **Wait/Stretch State:** If the other master’s low period is longer, the bus remains low until that master also releases it.  
  3. **High Phase Start:** When all masters release the line (stop driving it low), SCL transitions high.  
  4. **Repeat Cycle:** Both masters proceed with their clock cycles, but the wired-AND nature keeps them synchronized to the slowest master’s low period and the earliest master’s high release.
- **[Protocol/Handshaking Mechanisms]:**  
  - This mechanism ensures multi-master clock synchronization on the I2C bus.  
  - Each master’s clock is effectively “merged” on the bus, preventing collisions or timing conflicts.
- **[Additional Observations]:**  
  - This clock synchronization is fundamental to I2C’s multi-master capability.  
  - The figure illustrates that the final bus clock (wired-AND SCL) is shaped by overlapping low periods from all masters involved.
  
**[Waveform Name]:** Bit Command Controller Operations (Section 5.3)
**[Signals]:**  
- **SCL** (Serial Clock)  
- **SDA** (Serial Data)  
**[Interdependence Analysis]:**  
- **[Timing Relationship]:**  
  - Each single-bit operation (Start, Repeated Start, Stop, Write, Read) is divided into multiple sub-states: Idle plus A, B, C, D for most operations (Stop uses Idle + A, B, C).  
  - During Write and Read operations, SCL transitions define when SDA changes (or is sampled).  
  - For the **Start** and **Repeated Start** conditions, SDA transitions from high to low while SCL is high.  
  - For the **Stop** condition, SDA transitions from low to high while SCL is high.
- **[Causal Dependencies]:**  
  - The **Byte Command Controller** instructs the Bit Command Controller on whether to issue Start, Repeated Start, Stop, Write, or Read.  
  - The Bit Command Controller then drives or samples SDA in synchronization with SCL according to the sub-state sequence (A → B → C → D).  
  - The bus lines (SCL, SDA) are driven low or released (for high) depending on the current sub-state, ensuring correct I2C signaling.
- **[State Transitions]:**  
  1. **Idle**: Both SCL and SDA are stable/inactive before a command begins.  
  2. **A/B/C/D (for Start/Write/Read)**: These sub-states step through specific timing points to set or sample SDA and toggle SCL accordingly.  
  3. **Stop**: Occurs in four phases (Idle + A, B, C), where SDA transitions high while SCL is high at the final phase.  
  4. **Repeated Start**: Similar to Start but occurs without a preceding Stop; it uses the same four-phase approach as Start.
- **[Protocol/Handshaking Mechanisms]:**  
  - The **Start** or **Repeated Start** signals the beginning of a new transfer or repeated transfer without releasing the bus.  
  - The **Stop** signals the release of the bus.  
  - **Write** cycles shift data out on SDA and clock it with SCL.  
  - **Read** cycles shift data in from SDA (slave drives SDA), sampled by the master on SCL edges.
- **[Additional Observations]:**  
  - Each bit operation is carefully subdivided to respect I2C timing (setup/hold times, stable SDA during SCL high, etc.).  
  - The diagram shows a conceptual breakdown of how the core internally sequences SCL and SDA for each operation."
i2c,wb_clk_i,"
[Signal Name]: wb_clk_i
[Description]:
    [Definition]: 1-bit wide input signal serving as the Master clock for the I2C cores WISHBONE interface.
    [Functionality]: Provides the system clock that drives all synchronous operations in the core. It is used as the reference for deriving the SCL clock through the prescale register (e.g., with wb_clk_i = 32MHz to achieve a desired SCL frequency of 100KHz).
    [Interconnection]: Part of the WISHBONE interface, it interfaces with other signals such as wb_rst_i, wb_dat_i, wb_dat_o, wb_adr_i, wb_we_i, wb_stb_i, wb_cyc_i, wb_ack_o, and wb_inta_o. It feeds into the Clock Generator and other internal blocks that require a stable clock.
    [Additional information]: The accuracy of wb_clk_i is crucial since its frequency directly impacts the timing of I2C transactions. Proper configuration of the prescale register based on wb_clk_i ensures reliable I2C operation.
[Related Signals]: wb_rst_i, wb_dat_i, wb_dat_o, wb_adr_i, wb_we_i, wb_stb_i, wb_cyc_i, wb_ack_o, wb_inta_o"
i2c,wb_rst_i,"
[Signal Name]: wb_rst_i
[Description]:
    [Definition]: 1-bit input signal serving as the synchronous reset, active high.
    [Functionality]: Resets the I2C core in a synchronous manner, ensuring that the system’s registers and internal logic are initialized to a known state during reset cycles. It operates in coordination with the master clock (wb_clk_i).
    [Interconnection]: Part of the WISHBONE interface; works together with wb_clk_i to control the synchronous operation of the core. It is used in conjunction with the alternative asynchronous reset (arst_i), where one reset type is selected and the other is tied to a constant inactive state.
    [Additional information]: Although wb_rst_i is the synchronous reset, the spec recommends that for FPGA implementations, using arst_i may reduce cell usage and improve performance.
[Related Signals]: wb_clk_i, arst_i"
i2c,arst_i,"
[Signal name]: arst_i
[Description]:
    [Definition]: 1-bit input signal acting as an Asynchronous Reset for the I2C core.
    [Functionality]: Provides an asynchronous reset path, typically beneficial in FPGA implementations. It initializes or clears internal registers and logic asynchronously, without waiting for a clock edge.
    [Interconnection]: Part of the core’s reset scheme along with wb_rst_i. Only one of these reset signals should be used in a given design, with the other tied to its inactive level.
    [Additional information]: 
        - Not WISHBONE-compliant.
        - Potentially reduces cell usage and improves timing in FPGAs due to dedicated asynchronous reset routing.
[Related Signals]: wb_rst_i"
i2c,wb_stb_i,"
[Signal name]: wb_stb_i
[Description]:
    [Definition]: 1-bit input signal, serving as the Strobe signal/Core select input for the I2C core.
    [Functionality]: Indicates that the I2C core is selected for a transaction, working in tandem with wb_cyc_i to validate bus cycles and trigger register accesses.
    [Interconnection]: Part of the WISHBONE interface, interfacing with signals such as wb_cyc_i, wb_adr_i, wb_dat_i, and wb_we_i to control data transfer and core selection.
    [Additional information]: Ensures that the core is only accessed when a valid bus cycle is active, thereby preventing unintended register accesses.
[Related Signals]: wb_cyc_i, wb_adr_i, wb_dat_i, wb_we_i, wb_ack_o, wb_clk_i"
i2c,wb_ack_o,"
[Signal name]: wb_ack_o
[Description]:
    [Definition]: 1-bit output signal serving as the Bus cycle acknowledge output.
    [Functionality]: Acknowledges that a valid bus cycle (read or write operation) has been completed by the core. The signal is asserted after processing the transaction, typically following a 2 clock cycle access.
    [Interconnection]: Part of the WISHBONE interface, it interacts with wb_clk_i, wb_stb_i, wb_cyc_i, wb_dat_i, and wb_dat_o to manage synchronous data transfers between the core and the system bus.
    [Additional information]: Being a registered signal, wb_ack_o ensures reliable, clock-aligned acknowledgement, confirming the successful completion of each bus transaction.
[Related Signals]: wb_clk_i, wb_stb_i, wb_cyc_i, wb_dat_i, wb_dat_o, wb_rst_i"
i2c,wb_inta_o,"
[Signal name]: wb_inta_o
[Description]:
    [Definition]: 1-bit output signal serving as the Interrupt signal output from the I2C core.
    [Functionality]: Asserts when an interrupt condition is present—triggered by internal events such as a completed byte transfer or arbitration loss. This occurs when the interrupt flag (IF) in the Status register is set and the interrupt enable (IEN) bit in the Control register is active.
    [Interconnection]: Part of the WISHBONE interface, it interfaces with the system's interrupt controller or processor. It operates alongside internal registers (Control register’s IEN and Status register’s IF) and other bus signals (e.g., wb_clk_i) to manage interrupt-driven operations.
    [Additional information]: Being a registered signal, wb_inta_o is synchronized with the master clock, ensuring reliable timing for interrupt notifications.
[Related Signals]: IEN (Control register), IF (Status register), wb_clk_i, wb_rst_i, wb_cyc_i, wb_stb_i, wb_ack_o"
i2c,wb_adr_i,"
[Signal name]: wb_adr_i
[Description]:
    [Definition]: 3-bit wide input signal that provides the lower address bits for accessing the core's register file.
    [Functionality]: Directs read and write operations to specific registers (e.g., PRERlo, PRERhi, CTR, TXR/RXR, CR/SR) within the I2C core. It works in conjunction with other WISHBONE signals to ensure the correct register is targeted during transactions.
    [Interconnection]: Part of the WISHBONE interface; it interfaces with the address decoding logic along with signals such as wb_stb_i (strobe), wb_cyc_i (bus cycle), wb_dat_i, wb_dat_o, and wb_we_i to manage register access.
    [Additional information]: Since the I2C core register map is small, only the lower 3 bits are needed, covering addresses from 0x00 to 0x04 as defined in the specification.
[Related Signals]: wb_stb_i, wb_cyc_i, wb_dat_i, wb_dat_o, wb_we_i, wb_clk_i, wb_rst_i"
i2c,wb_dat_i,"
[Signal name]: wb_dat_i
[Description]:
    [Definition]: 8-bit wide input signal that carries data from the system bus towards the I2C core.
    [Functionality]: Used to write data into the core’s registers during bus cycles, including updates to the Prescale registers, Control register, and Transmit register.
    [Interconnection]: Part of the WISHBONE interface, interfacing with wb_adr_i, wb_we_i, wb_stb_i, wb_cyc_i, wb_clk_i, and wb_rst_i to ensure proper data transfer during register write operations.
    [Additional information]: This signal is essential for configuring and controlling the I2C core, as it allows the processor to provide necessary configuration and operational data.
[Related Signals]: wb_adr_i, wb_we_i, wb_stb_i, wb_cyc_i, wb_clk_i, wb_rst_i"
i2c,wb_cyc_i,"
[Signal name]: wb_cyc_i
[Description]:
    [Definition]: 1-bit wide input signal that indicates the validity of a bus cycle on the WISHBONE interface.
    [Functionality]: Signals that a valid bus cycle is in progress, ensuring the core processes transactions only when an active bus cycle is present. Works with wb_stb_i to validate the current transaction.
    [Interconnection]: Part of the WISHBONE interface; it interfaces with signals such as wb_stb_i, wb_adr_i, wb_dat_i, wb_dat_o, wb_we_i, and wb_ack_o to coordinate data transfers.
    [Additional information]: Essential for proper transaction timing, wb_cyc_i ensures that the I2C core only responds during valid bus cycles, contributing to reliable system communication.
[Related Signals]: wb_stb_i, wb_adr_i, wb_dat_i, wb_dat_o, wb_we_i, wb_ack_o, wb_clk_i, wb_rst_i"
